CUPS;Fecha;Hora;Consumo;Metodo_obtencion
ES0022000004433403RW1P;18/05/2021;22;1,372;R
ES0022000004433403RW1P;18/05/2021;23;0,377;R
ES0022000004433403RW1P;18/05/2021;24;0,294;R
ES0022000004433403RW1P;19/05/2021;1;0,197;R
ES0022000004433403RW1P;19/05/2021;2;0,120;R
ES0022000004433403RW1P;19/05/2021;3;0,103;R
ES0022000004433403RW1P;19/05/2021;4;0,196;R
ES0022000004433403RW1P;19/05/2021;5;0,123;R
ES0022000004433403RW1P;19/05/2021;6;0,114;R
ES0022000004433403RW1P;19/05/2021;7;0,253;R
ES0022000004433403RW1P;19/05/2021;8;0,128;R
ES0022000004433403RW1P;19/05/2021;9;0,233;R
ES0022000004433403RW1P;19/05/2021;10;0,184;R
ES0022000004433403RW1P;19/05/2021;11;0,269;R
ES0022000004433403RW1P;19/05/2021;12;0,209;R
ES0022000004433403RW1P;19/05/2021;13;0,220;R
ES0022000004433403RW1P;19/05/2021;14;0,281;R
ES0022000004433403RW1P;19/05/2021;15;0,445;R
ES0022000004433403RW1P;19/05/2021;16;1,017;R
ES0022000004433403RW1P;19/05/2021;17;0,753;R
ES0022000004433403RW1P;19/05/2021;18;0,205;R
ES0022000004433403RW1P;19/05/2021;19;0,255;R
ES0022000004433403RW1P;19/05/2021;20;0,358;R
ES0022000004433403RW1P;19/05/2021;21;0,843;R
ES0022000004433403RW1P;19/05/2021;22;0,479;R
ES0022000004433403RW1P;19/05/2021;23;0,339;R
ES0022000004433403RW1P;19/05/2021;24;0,165;R
ES0022000004433403RW1P;20/05/2021;1;0,125;R
ES0022000004433403RW1P;20/05/2021;2;0,119;R
ES0022000004433403RW1P;20/05/2021;3;0,184;R
ES0022000004433403RW1P;20/05/2021;4;0,155;R
ES0022000004433403RW1P;20/05/2021;5;0,100;R
ES0022000004433403RW1P;20/05/2021;6;0,105;R
ES0022000004433403RW1P;20/05/2021;7;0,292;R
ES0022000004433403RW1P;20/05/2021;8;0,181;R
ES0022000004433403RW1P;20/05/2021;9;0,241;R
ES0022000004433403RW1P;20/05/2021;10;0,186;R
ES0022000004433403RW1P;20/05/2021;11;0,236;R
ES0022000004433403RW1P;20/05/2021;12;0,197;R
ES0022000004433403RW1P;20/05/2021;13;0,207;R
ES0022000004433403RW1P;20/05/2021;14;0,363;R
ES0022000004433403RW1P;20/05/2021;15;0,238;R
ES0022000004433403RW1P;20/05/2021;16;0,228;R
ES0022000004433403RW1P;20/05/2021;17;0,228;R
ES0022000004433403RW1P;20/05/2021;18;0,222;R
ES0022000004433403RW1P;20/05/2021;19;0,268;R
ES0022000004433403RW1P;20/05/2021;20;0,568;R
ES0022000004433403RW1P;20/05/2021;21;0,833;R
ES0022000004433403RW1P;20/05/2021;22;0,490;R
ES0022000004433403RW1P;20/05/2021;23;0,264;R
ES0022000004433403RW1P;20/05/2021;24;0,150;R
ES0022000004433403RW1P;21/05/2021;1;0,121;R
ES0022000004433403RW1P;21/05/2021;2;0,110;R
ES0022000004433403RW1P;21/05/2021;3;0,125;R
ES0022000004433403RW1P;21/05/2021;4;0,112;R
ES0022000004433403RW1P;21/05/2021;5;0,111;R
ES0022000004433403RW1P;21/05/2021;6;0,123;R
ES0022000004433403RW1P;21/05/2021;7;0,264;R
ES0022000004433403RW1P;21/05/2021;8;0,197;R
ES0022000004433403RW1P;21/05/2021;9;0,316;R
ES0022000004433403RW1P;21/05/2021;10;0,322;R
ES0022000004433403RW1P;21/05/2021;11;0,333;R
ES0022000004433403RW1P;21/05/2021;12;0,219;R
